DIDE_CODE,ISO,GAUL_CODE,NAME_0,NAME_1,CONTINENT,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20
49,AGO,398,Angola,Bengo,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
50,AGO,399,Angola,Benguela,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
51,AGO,400,Angola,Bie,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
52,AGO,401,Angola,Cabinda,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
53,AGO,402,Angola,Cuando Cubango,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
54,AGO,403,Angola,Cuanza Sul,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
55,AGO,404,Angola,Cunene,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
56,AGO,405,Angola,Huambo,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
57,AGO,406,Angola,Huila,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
58,AGO,407,Angola,Kuanza Norte,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
59,AGO,408,Angola,Luanda,Africa,0,0,0,0.0157,0.0185,0.0528,0.0006,0.0977,0.1302,0.1725,0.3319,0.2926,0.1977,0.2788,0.3,0.3081,0.4343,0.4842,0.5158,0.5088,0,0,0,0.0005,0.001,0.0014,0.0019,0.0188,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.0335,0.0179,0.0024,0.0024,0.0024
