ENL_ID,MRR_ID,Country,site_name,lat,long,date_st,date_en,genus,species1,species2,species3,cohort,mos_origin,inoutrel,inoutrec,blood,sugar,age,mark_meth1,mark_meth2,release_meth,capture_meth1,capture_meth2,capture_meth3,releases_n,recaptures_n,time1,time2,trap_range,trap_range_shape,trap_number,release_sites_location,n_released_f,n_captured_f,n_recaptured_f,rratef,Pop1_f,Pop2_f,Pop3_f,Pop4_f,DPS1_f,DPS2_f,MDT_f,MnDT_f,MxDT_f,GC,disagg_d,MRR_notes
7,130,Israel,Uninhabited oases (Arava Valley),30.415918,35.151412,18/09/2009 00:00,,Anopheles,13,,,Sugar-rich site,4,3,3,0,0,,1,,1,21,,,1,26,2,48,100,,12,,13950,,3348,0.24,,,,,,,,,,2.4,0,
7,131,Israel,Uninhabited oases (Arava Valley),30.415918,35.151412,22/09/2009 00:00,,Anopheles,13,,,Sugar-poor site,4,3,3,0,0,,1,,1,21,,,1,26,2,48,100,,12,,17110,,1095,0.06,,,,,,,,,,3.3,0,
8,115,Italy,Altedo,44.667778,11.491667,06/07/2007 00:00,14/07/2007 00:00,Aedes,4,,,N/A,4,3,3,0,0,,1,,1,19,15,,1,4,4,8,250,symmetric,45,centric,,,,,,,,,,,,,,,1,DPS value refers to global survival rates
8,118,Italy,Castello d'Argile,44.681111,11.296667,23/08/2007 00:00,30/08/2007 00:00,Aedes,4,,,N/A,4,3,3,0,0,,10,,1,19,15,,1,3,4,7,250,symmetric,55,centric,,,,,,,,,,,,,,,1,DPS value refers to global survival rates
8,116,Italy,Altedo,44.667778,11.491667,30/08/2007 00:00,06/09/2007 00:00,Aedes,4,,,N/A,4,3,3,0,0,,10,,1,19,15,,1,3,4,7,250,symmetric,45,centric,,,,,,,,,,,,,,,1,DPS value refers to global survival rates
8,114,Italy,Castel Maggiore,44.577778,11.361667,19/07/2007 00:00,26/07/2007 00:00,Aedes,4,,,N/A,4,3,3,0,0,,10,,1,19,15,,1,3,4,7,250,symmetric,57,centric,,,,,,,,,,,,,,,1,DPS value refers to global survival rates
8,113,Italy,Castel Maggiore,44.577778,11.361667,09/08/2007 00:00,16/08/2007 00:00,Aedes,4,,,N/A,4,3,3,0,0,,1,,1,19,15,,1,3,4,7,250,symmetric,57,centric,,,,,,,,,,,,,,,1,DPS value refers to global survival rates
8,117,Italy,Castello d'Argile,44.681111,11.296667,03/08/2007 00:00,10/08/2007 00:00,Aedes,4,,,N/A,4,3,3,0,0,,1,,1,19,15,,1,3,4,7,250,symmetric,55,centric,,,,,,,,,,,,,,,1,DPS value refers to global survival rates
13,330,Italy,Sapienza (Rome),41.889444,12.513889,13/08/2008 00:00,,Aedes,4,,,Experiment I,2,3,3,1,0,,1,,1,1,,,1,21,0,21,250,symmetric,55,centric,464,,21,0.04,,,,,,,105,,199,,1,
13,332,Italy,Sapienza (Rome),41.889444,12.513889,10/10/2008 00:00,,Aedes,4,,,Experiment III,2,3,3,1,0,,1,,1,1,,,1,21,0,21,250,symmetric,55,centric,552,,18,0.03,,,,,,,154,,290,,1,
13,331,Italy,Sapienza (Rome),41.889444,12.513889,09/09/2008 00:00,,Aedes,4,,,Experiment II,2,3,3,1,0,,1,,1,1,,,1,21,0,21,250,symmetric,55,centric,566,,29,0.05,,,,,,,118,,168,,1,
15,53,Mali,Fourda & Kenieroba,12.11,-8.33,16/03/2008 00:00,23/03/2008 00:00,Anopheles,11,,,N/A,1,2,1,0,0,,1,,1,19,2,12,3,7,1,8,2500,asymmetric,141,eccentric,265,,28,0.1,,,,,,,,,,,1,Mouth aspirator.
15,54,Mali,Fourda & Kenieroba,12.11,-8.33,02/07/2008 00:00,09/07/2008 00:00,Anopheles,11,,,N/A,1,2,1,0,0,,1,,1,19,2,,5,8,1,8,2500,asymmetric,88,eccentric,874,,31,0.03,,,,,,,,,2000,,1,"Mouth aspirator. 2 females were recaptured in Kenieroba, which is 2 km inland from Fourda."
19,818,Reunion,Saint Pierre 1,-21.320833,55.484444,01/05/2007 00:00,,Aedes,4,,,Release 3,2,2,2,0,1,5,1,,1,4,,,1,21,1,21,50,symmetric,20,centric,,,,,,,,,,,,,,,0,
19,817,Reunion,Saint Pierre 1,-21.320833,55.484444,01/05/2007 00:00,,Aedes,4,,,Release 2,2,2,2,0,1,5,1,,1,4,,,1,21,1,21,50,symmetric,20,centric,,,,,,,,,,,,,,,0,
